TI83333S000001	b0001	thrL	thr operon leader peptide
TI83333S002210	b2284	nuoF	NADH dehydrogenase I chain F
TI83333S002211	b2285	nuoE	ATP synthase subunit E
TI83333S002212	b2286	nuoC	"NADH dehydrogenase I chain C, D"
TI83333S002213	b2287	nuoB	NADH dehydrogenase beta subunit
TI83333S002214	b2288	nuoA	NADH dehydrogenase alpha subunit
TI83333S002215	b2289	lrhA	"NADH dehydrogenase transcriptional regulator, LysR family; modulates SprE(RssB) activity"
TI83333S002216	b2290	yfbQ	aspartate aminotransferase
TI83333S002217	b2291	yfbR	hypothetical protein
TI83333S002218	b2292	yfbS	"putative response regulator, membrane protein"
TI83333S002219	b2293	yfbT	putative phosphatase
TI83333S002220	b2294	yfbU	hypothetical protein
TI83333S002221	b2295	yfbV	hypothetical protein
TI83333S002222	b2296	ackA	acetate/propionate kinase
TI83333S002223	b2297	pta	phosphate acetyltransferase
TI83333S002224	b2298	yfcC	putative S-transferase
TI83333S002225	b2299	yfcD	putative enzyme (Nudix hydrolase)
TI83333S002226	b2300	yfcE	phosphodiesterase
TI83333S002227	b2301	yfcF	putative glutathione S-transferase
TI83333S002228	b2302	yfcG	putative S-transferase
TI83333S002229	b2303	folX	"D-erythro-7,8-dihydroneopterin tri P epimerase"
TI83333S002230	b2304	yfcH	"putative cell division inhibitor, NAD(P)-binding"
TI83333S002231	b2305	yfcI	putative transposase
TI83333S002232	b2306	hisP	ATP-binding component of histidine transport
TI83333S002233	b2307	hisM	"histidine and lysine/arginine/ornithine transport protein (ABC superfamily, membrane)"
TI83333S002234	b2308	hisQ	"histidine and lysine/arginine/ornithine transport system (ABC superfamily, membrane)"
TI83333S002235	b2309	hisJ	"histidine transport protein (ABC superfamily, peri_bind)"
TI83333S002236	b2310	argT	"lysine-, arginine-, ornithine-binding periplasmic protein"
TI83333S002237	b2311	ubiX	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
TI83333S002238	b2312	purF	amidophosphoribosyltransferase
TI83333S002239	b2313	cvpA	membrane protein required for colicin V production
TI83333S002240	b2314	dedD	putative lipoprotein
TI83333S002241	b2315	folC	dihydrofolate:folylpolyglutamate synthetase; dihydrofolate synthetase
TI83333S002242	b2316	accD	acetyl-CoA carboxylase beta subunit
TI83333S002243	b2317	dedA	putative integral membrane protein
TI83333S002244	b2318	truA	tRNA pseudouridine synthase A
TI83333S002245	b2319	usg	hypothetical protein
TI83333S002246	b2320	pdxB	erythronate-4-phosphate dehydrogenase
TI83333S002247	b2321	flk	flagellar assembly protein
TI83333S002248	b2322	yfcJ	hypothetical protein
TI83333S002249	b2323	fabB	3-oxoacyl-(acyl carrier protein) synthase
TI83333S002250	b2324	mnmC	hypothetical protein
TI83333S002251	b2325	yfcL	hypothetical protein
TI83333S002252	b2326	yfcM	putative transporting ATPase
TI83333S002253	b2327	yfcA	putative structural protein
TI83333S002254	b2328	mepA	penicillin-insensitive murein endopeptidase
TI83333S002255	b2329	aroC	chorismate synthase
TI83333S002256	b2330	prmB	putative adenine-specific methylase
TI83333S002257	b2331	yfcN	hypothetical protein
TI83333S002258	b2332	yfcO	hypothetical protein
TI83333S002259	b2333	yfcP	putative fimbrial-like protein
TI83333S002260	b2334	yfcQ	putative fimbrial-like protein
TI83333S002261	b2335	yfcR	putative fimbrial protein
TI83333S002262	b2336	yfcS	putative chaperone
TI83333S002263	b2337	b2337	putative outer membrane protein
TI83333S002264	b2338	yfcU	putative outer membrane protein
TI83333S002265	b2339	yfcV	putative fimbrial-like protein
TI83333S002266	b2340	sixA	phosphohistidine phosphatase
TI83333S002267	b2341	fadJ	bifunctional fatty acid oxidation complex protein: putative enoyl-CoA hydratase/isomerase (N-terminal); putative NAD(P)-binding dehydrogenase (C-terminal)
TI83333S002268	b2342	fadI	acetyl-CoA acetyltransferase
TI83333S002269	b2343	yfcZ	hypothetical protein
TI83333S002270	b2344	fadL	long-chain fatty acid transport protein (outer membrane flp protein)
TI83333S002271	b2345	yfdF	putative DNA modification enzyme
TI83333S002272	b2346	vacJ	lipoprotein precursor
TI83333S002273	b2347	yfdC	putative transport protein
TI83333S002274	b2349	intS	CPS-53 (KpLE1) prophage; Sf6-like integrase
TI83333S002275	b2350	yfdG	CPS-53 (KpLE1) prophage; putative integral membrane protein
TI83333S002276	b2351	yfdH	CPS-53 (KpLE1) prophage; putative bactoprenol glucosyl transferase
TI83333S002277	b2352	yfdI	CPS-53 (KpLE1) prophage; putative ligase
TI83333S002278	b2353	tfaS	CPS-53 (KpLE1) prophage
TI83333S002279	b2354	yfdK	CPS-53 (KpLE1) prophage; putative tail fiber assembly
TI83333S002280	b2355	yfdL	CPS-53 (KpLE1) prophage
TI83333S002281	b2356	yfdM	CPS-53 (KpLE1) prophage; putative transferase
TI83333S002282	b2357	yfdN	CPS-53 (KpLE1) prophage; putative transcriptional regulator
TI83333S002283	b2358	yfdO	CPS-53 (KpLE1) prophage; putative replication protein
TI83333S002284	b2359	yfdP	CPS-53 (KpLE1) prophage
TI83333S002285	b2360	yfdQ	CPS-53 (KpLE1) prophage
TI83333S002286	b2361	yfdR	CPS-53 (KpLE1) prophage
TI83333S002287	b2362	yfdS	CPS-53 (KpLE1) prophage
TI83333S002288	b2363	yfdT	CPS-53 (KpLE1) prophage
TI83333S002289	b2364	dsdC	D-serine dehydratase (deaminase) transcriptional activator
TI83333S002290	b2365	dsdX	transport protein (Gnt family)
TI83333S002291	b2366	dsdA	D-serine dehydratase
TI83333S002292	b2367	emrY	multidrug resistance protein Y
TI83333S002293	b2368	emrK	multidrug resistance protein K
TI83333S002294	b2369	evgA	putative positive transcription regulator (sensor EvgS)
TI83333S002295	b2370	evgS	"hybrid sensory histidine kinase in two-component regulatory system with EvgA, regulates multidrug resistance"
TI83333S002296	b2371	yfdE	putative enzyme
TI83333S002297	b2372	yfdV	putative receptor protein
TI83333S002298	b2373	yfdU	hypothetical protein
TI83333S002299	b2374	yfdW	formyl-coenzyme A transferase
TI83333S002300	b2375	yfdX	hypothetical protein
TI83333S002301	b2376	ypdI	unknown CDS
TI83333S002302	b2377	yfdY	unknown CDS
TI83333S002303	b2378	lpxP	lipid A biosynthesis lauroyl acyltransferase
TI83333S002304	b2379	yfdZ	hypothetical protein
TI83333S002305	b2380	ypdA	putative sensor protein
TI83333S002306	b2381	ypdB	putative 2-component transcriptional regulator
TI83333S002307	b2382	ypdC	putative ARAC-type regulatory protein
TI83333S002308	b2383	fryA	putative PTS family Hpr component (N-terminal); enzyme I component (middle); enzyme IIA component (C-terminal)
TI83333S002309	b2384	ypdE	putative endoglucanase
TI83333S002310	b2385	ypdF	putative peptidase
TI83333S002311	b2386	fryC	"putative PTS family enzyme IIC component, fructose-specific"
TI83333S002312	b2387	fryB	putative PTS family enzyme IIB component
TI83333S002313	b2388	glk	glucokinase
TI83333S002314	b2389	yfeO	hypothetical protein
TI83333S002315	b2390	ypeC	unknown CDS
TI83333S002316	b2392	mntH	putative manganese transport protein MntH
TI83333S002317	b2393	nupC	nucleoside transport protein (NUP family)
TI83333S002318	b2394	b2394	putative transposase insL for insertion sequence IS186
TI83333S002319	b2395	yfeA	hypothetical protein
TI83333S002320	b2398	yfeC	putative negative regulator
TI83333S002321	b2399	yfeD	putative negative regulator
TI83333S002322	b2400	gltX	glutamyl-tRNA synthetase
TI83333S002323	b2405	xapR	regulator for xapA
TI83333S002324	b2406	xapB	xanthosine permease
TI83333S002325	b2407	xapA	purine nucleoside phosphorylase
TI83333S002326	b2408	yfeN	putative sugar hydrolase
TI83333S002327	b2409	yfeR	putative transcriptional regulator (LysR family)
TI83333S002328	b2410	yfeH	putative cytochrome oxidase
TI83333S002329	b2411	ligA	DNA ligase
TI83333S002330	b2412	zipA	cell division protein ZipA
TI83333S002331	b2413	cysZ	putative sulfate transport protein CysZ
TI83333S002332	b2414	cysK	"cysteine synthase A, O-acetylserine sulfhydrolase A"
TI83333S002333	b2415	ptsH	"PTS family Hpr protein, phosphohistidinoprotein-hexose phosphotransferase"
TI83333S002334	b2416	ptsI	PEP-protein phosphotransferase system enzyme I
TI83333S002335	b2417	crr	glucose-specific PTS system enzyme IIA component
TI83333S002336	b2418	pdxK	pyridoxine kinase
TI83333S002337	b2419	yfeK	hypothetical protein
TI83333S002338	b2420	yfeS	hypothetical protein
TI83333S002339	b2421	cysM	cysteine synthase B (O-acetylserine sulfhydrolase B)
TI83333S002340	b2422	cysA	ATP-binding component of sulfate permease A protein; chromate resistance
TI83333S002341	b2423	cysW	sulfate transport system permease W protein
TI83333S002342	b2424	cysU	"sulfate, thiosulfate transport system permease T protein"
TI83333S002343	b2425	cysP	thiosulfate binding protein
TI83333S002344	b2426	ucpA	short chain dehydrogenase
TI83333S002345	b2427	yfeT	hypothetical protein
TI83333S002346	b2428	yfeU	hypothetical protein
TI83333S002347	b2429	murP	putative PTS enzyme IIBC component
TI83333S002348	b2430	yfeW	hypothetical protein
TI83333S002349	b2431	yfeX	hypothetical protein
TI83333S002350	b2432	yfeY	hypothetical protein
TI83333S002351	b2433	yfeZ	hypothetical protein
TI83333S002352	b2434	ypeA	putative acetyltransferase
TI83333S002353	b2435	amiA	N-acetylmuramoyl-l-alanine amidase I
TI83333S002354	b2436	hemF	coproporphyrinogen III oxidase
TI83333S002355	b2437	eutR	putative ARAC-type regulatory protein
TI83333S002356	b2438	eutK	"putative carboxysome structural protein, ethanolamine utilization"
TI83333S002357	b2439	eutL	"putative carboxysome structural protein, ethanolamine utilization"
TI83333S002358	b2440	eutC	ethanolamine ammonia-lyase small subunit
TI83333S002359	b2441	eutB	"ethanolamine ammonia-lyase, heavy chain"
TI83333S002360	b2442	intZ	CPZ-55 prophage; putative integrase
TI83333S002361	b2443	yffL	CPZ-55 prophage
TI83333S002362	b2444	yffM	CPZ-55 prophage
TI83333S002363	b2445	yffN	CPZ-55 prophage
TI83333S002364	b2446	yffO	CPZ-55 prophage
TI83333S002365	b2447	yffP	CPZ-55 prophage
TI83333S002366	b2448	yffQ	CPZ-55 prophage
TI83333S002367	b2449	yffR	CPZ-55 prophage
TI83333S002368	b2450	yffS	CPZ-55 prophage; putative transcriptional regulator
TI83333S002369	b2451	eutA	CPPZ-55 prophage; chaperonin in ethanolamine utilization
TI83333S002370	b2452	eutH	ethanolamine utilization; homolog of Salmonella putative transport protein
TI83333S002371	b2453	eutG	"ethanolamine utilization; homolog of Salmonella enzyme, similar to iron-containing alcohol dehydrogenase"
TI83333S002372	b2454	eutJ	ethanolamine utilization; homolog of Salmonella gene
TI83333S002373	b2455	eutE	ethanolamine utilization; similar to acetaldehyde dehydrogenase
TI83333S002374	b2456	eutN	detox protein
TI83333S002375	b2457	eutM	detox protein
TI83333S002376	b2458	eutD	phosphate acetyltransferase
TI83333S002377	b2459	eutT	putative cobalamin adenosyltransferase in ethanolamine utilization
TI83333S002378	b2460	eutQ	putative regulator of ethanolamine utilization
TI83333S002379	b2461	eutP	putative ethanolamine utilization protein
TI83333S002380	b2462	eutS	"putative carboxysome structural protein, ethanol utilization"
TI83333S002381	b2463	maeB	phosphate acetyltransferase
TI83333S002382	b2464	talA	transaldolase
TI83333S002383	b2465	tktB	transketolase
TI83333S002384	b2466	ypfG	hypothetical protein
TI83333S002385	b2467	yffH	"conserved protein, MutT-like"
TI83333S002386	b2468	aegA	"putative oxidoreductase, Fe-S subunit (anaerobically expressed gene)"
TI83333S002387	b2469	narQ	"sensor for nitrate reductase system, protein histidine kinase (acts on NarP and narL)"
TI83333S002388	b2470	acrD	aminoglycoside efflux pump
TI83333S002389	b2471	yffB	conserved thioredoxin-like protein
TI83333S002390	b2472	dapE	succinyl-diaminopimelate desuccinylase
TI83333S002391	b2473	ypfH	hypothetical protein
TI83333S002392	b2474	ypfI	putative acyl-CoA N-acyltransferase
TI83333S002393	b2475	ypfJ	hypothetical protein
TI83333S002394	b2476	purC	phosphoribosylaminoimidazole-succinocarboxamidesynthase
TI83333S002395	b2477	nlpB	lipoprotein-34
TI83333S002396	b2478	dapA	dihydrodipicolinate synthase
TI83333S002397	b2479	gcvR	transcriptional regulation of gcv operon
TI83333S002398	b2480	bcp	bacterioferritin comigratory protein
TI83333S002399	b2481	hyfA	hydrogenase 4 Fe-S subunit
TI83333S002400	b2482	hyfB	NADH dehydrogenase subunit N
TI83333S002401	b2483	hyfC	hydrogenase 4 membrane subunit
TI83333S002402	b2484	hyfD	hydrogenase 4 membrane subunit
TI83333S002403	b2485	hyfE	hydrogenase 4 membrane subunit
TI83333S002404	b2486	hyfF	NADH dehydrogenase subunit N
TI83333S002405	b2487	hyfG	hydrogenase 4 subunit
TI83333S002406	b2488	hyfH	hydrogenase 4 Fe-S subunit
TI83333S002407	b2489	hyfI	hydrogenase 4 Fe-S subunit
TI83333S002408	b2490	hyfJ	putative protein processing element for hydrogenase 4
TI83333S002409	b2491	hyfR	"putative 2-component regulator, interaction with sigma 54"
TI83333S002410	b2492	focB	probable formate transporter (formate channel 2)
TI83333S002411	b2493	yfgO	putative permease
TI83333S002412	b2494	yfgC	hypothetical protein
TI83333S002413	b2495	yfgD	putative arsenate reductase
TI83333S002414	b2496	hda	DNA replication initiation factor
TI83333S002415	b2497	uraA	uracil transport
TI83333S002416	b2498	upp	uracil phosphoribosyltransferase
TI83333S002417	b2499	purM	phosphoribosylaminoimidazole synthetase
TI83333S002418	b2500	purN	phosphoribosylglycinamide formyltransferase
TI83333S002419	b2501	ppk	polyphosphate kinase
TI83333S002420	b2502	ppx	exopolyphosphatase
TI83333S002421	b2503	yfgF	putative cytochrome C-type biogenesis protein
TI83333S002422	b2504	yfgG	unknown CDS
TI83333S002423	b2505	yfgH	putative outer membrane lipoprotein
TI83333S002424	b2506	yfgI	hypothetical protein
TI83333S002425	b2507	guaA	bifunctional GMP synthase/glutamine amidotransferase protein
TI83333S002426	b2508	guaB	inositol-5-monophosphate dehydrogenase
TI83333S002427	b2509	xseA	exodeoxyribonuclease VII large subunit
TI83333S002428	b2510	yfgJ	putative cytochrome
TI83333S002429	b2511	der	GTP-binding protein EngA
TI83333S002430	b2512	yfgL	putative dehydrogenase
TI83333S002431	b2513	yfgM	hypothetical protein
TI83333S002432	b2514	hisS	histidyl-tRNA synthetase
TI83333S002433	b2515	ispG	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
TI83333S002434	b2516	yfgA	hypothetical protein
TI83333S002435	b2517	yfgB	putative pyruvate formate lyase activating enzyme 2
TI83333S002436	b2518	ndk	nucleoside diphosphate kinase
TI83333S002437	b2519	pbpC	penicillin binding protein 1C (PBP 1C)
TI83333S002438	b2520	yfhM	hypothetical protein
TI83333S002439	b2521	sseA	3-mercaptopyruvate sulfurtransferase
TI83333S002440	b2522	sseB	enhanced serine sensitivity
TI83333S002441	b2523	pepB	aminopeptidase B
TI83333S002442	b2524	iscX	putative protein believed to be involved in assembly of Fe-S clusters
TI83333S002443	b2525	fdx	"[2FE-2S] ferredoxin, electron carrer protein"
TI83333S002444	b2526	hscA	chaperone protein HscA
TI83333S002445	b2527	hscB	co-chaperone HscB
TI83333S002446	b2528	iscA	iron-sulfur cluster assembly protein
TI83333S002447	b2529	iscU	involved in Fe-S biosynthesis
TI83333S002448	b2530	iscS	cysteine desulfurase
TI83333S002449	b2531	iscR	Fe-S cluster-containing transcription factor
TI83333S002450	b2532	yfhQ	hypothetical tRNA/rRNA methyltransferase
TI83333S002451	b2533	suhB	inositol monophosphatase
TI83333S002452	b2534	yfhR	putative enzyme (3.4.-)
TI83333S002453	b2535	csiE	stationary phase inducible protein
TI83333S002454	b2536	hcaT	MFS (major facilitator superfamily) transporter
TI83333S002455	b2537	hcaR	bifunctional: transcriptional activator of hca cluster (LysR family) (N-terminal); putative oxidoreductase (C-terminal)
TI83333S002456	b2538	hcaE	"3-phenylpropionate dioxygenase, alpha subunit"
TI83333S002457	b2539	hcaF	"3-phenylpropionate dioxygenase, beta subunit"
TI83333S002458	b2540	hcaC	ferredoxin subunit of phenylpropionate dioxygenase
TI83333S002459	b2541	hcaB	"2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase"
TI83333S002460	b2542	hcaD	ferredoxin reductase subunit of phenylpropionate dioxygenase
TI83333S002461	b2543	yphA	putative transmembrane protein
TI83333S002462	b2544	yphB	hypothetical protein
TI83333S002463	b2545	yphC	"putative dehydrogenase, NAD(P)-binding"
TI83333S002464	b2546	yphD	"putative sugar transport protein (ABC superfamily, membrane)"
TI83333S002465	b2547	yphE	putative ATP-binding component of a transport system
TI83333S002466	b2548	yphF	putative LACI-type transcriptional regulator
TI83333S002467	b2549	yphG	putative transferase
TI83333S002468	b2550	yphH	putative NAGC-like transcriptional regulator
TI83333S002469	b2551	glyA	serine hydroxymethyltransferase
TI83333S002470	b2552	hmp	"dihydropteridine reductase, ferrisiderophore reductase activity"
TI83333S002471	b2553	glnB	regulatory protein (P-II) for nitrogen assimilation by glutamine synthetase (ATase)
TI83333S002472	b2554	yfhA	putative 2-component transcriptional regulator
TI83333S002473	b2555	yfhG	putative alpha helix protein
TI83333S002474	b2556	yfhK	putative 2-component sensor protein
TI83333S002475	b2557	purL	phosphoribosylformylglycinamidine synthase
TI83333S002476	b2558	yfhD	putative periplasmic binding protein of transport system
TI83333S002477	b2559	tadA	tRNA-specific adenosine deaminase
TI83333S002478	b2560	yfhB	hypothetical protein
TI83333S002479	b2561	yfhH	"putative transport protein (ABC superfamily, membrane)"
TI83333S002480	b2562	yfhL	putative ferredoxin
TI83333S002481	b2563	acpS	4'-phosphopantetheinyl transferase
TI83333S002482	b2564	pdxJ	pyridoxal phosphate biosynthetic protein
TI83333S002483	b2565	recO	DNA repair protein RecO
TI83333S002484	b2566	era	GTP-binding protein Era
TI83333S002485	b2567	rnc	ribonuclease III
TI83333S002486	b2568	lepB	leader peptidase (signal peptidase I)
TI83333S002487	b2569	lepA	GTP-binding protein LepA
TI83333S002488	b2570	rseC	regulator of sigma E (sigma 24) factor
TI83333S002489	b2571	rseB	periplasmic negative regulator of sigmaE
TI83333S002490	b2572	rseA	"anti sigma E (sigma 24) factor, negative regulator"
TI83333S002491	b2573	rpoE	RNA polymerase sigma-70 factor
TI83333S002492	b2574	nadB	L-aspartate oxidase
TI83333S002493	b2575	yfiC	putative enzyme
TI83333S002494	b2576	srmB	ATP-dependent RNA helicase
TI83333S002495	b2577	yfiE	putative transcriptional regulator (LysR family)
TI83333S002496	b2578	yfiK	putative transport protein
TI83333S002497	b2579	yfiD	putative formate acetyltransferase
TI83333S002498	b2580	ung	uracil-DNA glycosylase
TI83333S002499	b2581	yfiF	putative tRNA/rRNA methyltransferase
TI83333S002500	b2582	trxC	putative thioredoxin-like protein
TI83333S002501	b2583	yfiP	hypothetical protein
TI83333S002502	b2584	yfiQ	"putative acyl-CoA synthetase, NAD(P)-binding, ATP-binding"
TI83333S002503	b2585	pssA	phosphatidylserine synthase
TI83333S002504	b2586	yfiM	hypothetical protein
TI83333S002505	b2587	kgtP	alpha-ketoglutarate permease
TI83333S002506	b2592	clpB	"ATP-dependent protease, Hsp 100, part of multi-chaperone system with DnaK, DnaJ, and GrpE"
TI83333S002507	b2593	yfiH	hypothetical protein
TI83333S002508	b2594	rluD	23S rRNA pseudouridine synthase
TI83333S002509	b2595	ecfD	putative lipoprotein
TI83333S002510	b2596	b2596	unknown CDS
TI83333S002511	b2597	yfiA	putative yhbH sigma 54 modulator
TI83333S002512	b2598	pheL	chorismate mutase-P-prephenate dehydratase leader peptide
TI83333S002513	b2599	pheA	bifunctional: chorismate mutase P (N-terminal); prephenate dehydratase (C-terminal)
TI83333S002514	b2600	tyrA	bifunctional: chorismate mutase T (N-terminal); prephenate dehydrogenase (C-terminal)
TI83333S002515	b2601	aroF	3-deoxy-7-phosphoheptulonate synthase
TI83333S002516	b2602	yfiL	unknown CDS
TI83333S002517	b2603	yfiR	hypothetical protein
TI83333S002518	b2604	yfiN	hypothetical protein
TI83333S002519	b2605	yfiB	putative outer membrane protein
TI83333S002520	b2606	rplS	50S ribosomal protein L19
TI83333S002521	b2607	trmD	tRNA (guanine-N(1)-)-methyltransferase
TI83333S002522	b2608	rimM	16S rRNA-processing protein
TI83333S002523	b2609	rpsP	30S ribosomal protein S16
TI83333S002524	b2610	ffh	"4.5S-RNP protein, GTP-binding export factor, part of signal recognition particle with 4.5 RNA"
TI83333S002525	b2611	ypjD	hypothetical protein
TI83333S002526	b4461		hypothetical protein
TI83333S002527	b2614	grpE	Hsp 24 nucleotide exchange factor
TI83333S002528	b2615	nadK	inorganic polyphosphate/ATP-NAD kinase
TI83333S002529	b2616	recN	protein used in recombination and DNA repair
TI83333S002530	b2617	smpA	small membrane protein A
TI83333S002531	b2618	yfjF	hypothetical protein
TI83333S002532	b2619	yfjG	hypothetical protein
TI83333S002533	b2620	smpB	SsrA-binding protein
TI83333S002534	b2622	intA	CP4-57 prophage; integrase
TI83333S002535	b2623	yfjH	CP4-57 prophage
TI83333S002536	b2624	alpA	CP4-57 prophage; transcriptional acitvator of a P4-like cryptic prophage
TI83333S002537	b2625	yfjI	CP4-57 prophage
TI83333S002538	b2626	yfjJ	CP4-57 prophage
TI83333S002539	b2627	yfjK	CP4-57 prophage
TI83333S002540	b2628	yfjL	CP4-57 prophage
TI83333S002541	b2629	yfjM	CP4-57 prophage
TI83333S002542	b2630	yfjN	CP4-57 prophage; putative cell division protein
TI83333S002543	b2631	yfjO	CP4-57 prophage
TI83333S002544	b2632	yfjP	CP4-57 prophage; putative GTP-binding factor
TI83333S002545	b2633	yfjQ	CP4-57 prophage
TI83333S002546	b2634	yfjR	CP4-57 prophage; putative transcriptional repressor (DeoR family)
TI83333S002547	b2635	ypjK	CP4-57 prophage
TI83333S002548	b2636	yfjS	CP4-57 prophage
TI83333S002549	b2637	yfjT	CP4-57 prophage
TI83333S002550	b2638	yfjU	CP4-57 prophage
TI83333S002551	b2639	b2639	CP4-57 prophage; putative arsenical pump protein
TI83333S002552	b2640	b2640	CP4-57 prophage
TI83333S002553	b2641	b2641	CP4-57 prophage
TI83333S002554	b2642	yfjW	CP4-57 prophage
TI83333S002555	b2643	yfjX	CP4-57 prophage
TI83333S002556	b2644	yfjY	CP4-57 prophage; putative DNA repair protein
TI83333S002557	b2645	yfjZ	CP4-57 prophage
TI83333S002558	b2646	ypjF	CP4-57 prophage
TI83333S002559	b2647	ypjA	putative ATP-binding component of a transport system
TI83333S002560	b2648	pinH	"homolog of pin/cin, phage invertible sequence"
TI83333S002561	b2649	ypjB	hypothetical protein
TI83333S002562	b2650	ypjC	unknown CDS
TI83333S002563	b2651	b2651	unknown CDS
TI83333S002564	b2653	b2653	unknown CDS
TI83333S002565	b2654	ygaQ	unknown CDS
TI83333S002566	b4462		hypothetical protein
TI83333S002567	b2657	yqaC	putative enzyme
TI83333S002568	b2658	yqaD	unknown CDS
TI83333S002569	b2659	csiD	hypothetical protein
TI83333S002570	b2660	ygaF	putative enzyme
TI83333S002571	b2661	gabD	"succinate-semialdehyde dehydrogenase I, NADP-dependent"
TI83333S002572	b2662	gabT	4-aminobutyrate aminotransferase
TI83333S002573	b2663	gabP	"gamma-aminobutyrate transport protein, RpoS-dependent (APC family)"
TI83333S002574	b2664	csiR	putative transcriptional regulator
TI83333S002575	b2665	ygaU	hypothetical protein
TI83333S002576	b2666	yqaE	putative transport protein (YqaE family)
TI83333S002577	b2667	ygaV	hypothetical protein
TI83333S002578	b2668	ygaP	putative phosphatase
TI83333S002579	b2669	stpA	DNA-bending protein with chaperone activity
TI83333S002580	b2670	ygaW	hypothetical protein
TI83333S002581	b2671	ygaC	hypothetical protein
TI83333S002582	b2672	ygaM	hypothetical protein
TI83333S002583	b2673	nrdH	glutaredoxin-like protein; hydrogen donor
TI83333S002584	b2674	nrdI	hypothetical protein
TI83333S002585	b2675	nrdE	ribonucleotide-diphosphate reductase alpha subunit
TI83333S002586	b2676	nrdF	ribonucleotide-diphosphate reductase beta subunit
TI83333S002587	b2677	proV	"ATP-binding component of transport system for glycine, betaine and proline"
TI83333S002588	b2678	proW	"glycine/betaine/proline transport protein (ABC superfamily, membrane)"
TI83333S002589	b2679	proX	"glycine/betaine/proline transport protein (ABC superfamily, peri_bind)"
TI83333S002590	b2680	b2680	"putative resistance protein, possible transport protein"
TI83333S002591	b2681	b2681	putative integral membrane protein
TI83333S002592	b2682	ygaZ	putative amino acid transport protein
TI83333S002593	b2683	ygaH	putative transport protein
TI83333S002594	b2684	emrR	regulator of plasmid mcrB operon (microcin B17 synthesis)
TI83333S002595	b2685	emrA	multidrug resistance secretion protein
TI83333S002596	b2686	emrB	multidrug resistance; probably membrane translocase
TI83333S002597	b2687	luxS	S-ribosylhomocysteinase
TI83333S002598	b2688	gshA	glutamate--cysteine ligase
TI83333S002599	b2689	yqaA	putative integral membrane protein
TI83333S002600	b2690	yqaB	putative phosphatase
TI83333S002601	b2696	csrA	carbon storage regulator
TI83333S002602	b2697	alaS	alanyl-tRNA synthetase
TI83333S002603	b2698	recX	RecA regulator RecX
TI83333S002604	b2699	recA	recombinase A
TI83333S002605	b2700	ygaD	competence damage-inducible protein A
TI83333S002606	b2701	mltB	membrane-bound lytic murein transglycosylase B
TI83333S002607	b2702	srlA	"PTS family enzyme IIC, glucitol/sorbitol-specific"
TI83333S002608	b2703	srlE	"PTS family enzyme IIBC, glucitol/sorbitol-specific"
TI83333S002609	b2704	srlB	"PTS family enzyme IIA, glucitol/sorbitol-specific"
TI83333S002610	b2705	srlD	sorbitol-6-phosphate 2-dehydrogenase
TI83333S002611	b2706	gutM	glucitol operon activator
TI83333S002612	b2707	srlR	"regulator for gut (srl), glucitol operon"
TI83333S002613	b2708	gutQ	putative polysialic acid capsule expression protein
TI83333S002614	b2709	norR	anaerobic nitric oxide reductase transcription regulator
TI83333S002615	b2710	norV	anaerobic nitric oxide reductase flavorubredoxin
TI83333S002616	b2711	norW	nitric oxide reductase
TI83333S002617	b2712	hypF	hydrogenase maturation protein
TI83333S002618	b2713	hydN	"electron transport protein (formate to hydrogen), Fe-S center"
TI83333S002619	b2714	ascG	ascBF operon repressor
TI83333S002620	b2715	ascF	"PTS family enzyme IIBC component, cellobiose/salicin/arbutin-specific"
TI83333S002621	b2716	ascB	6-phospho-beta-glucosidase; cryptic
TI83333S002622	b2717	hycI	protease involved in processing C-terminal end of HycE
TI83333S002623	b2718	hycH	processing of HycE (part of the FHL complex)
TI83333S002624	b2719	hycG	hydrogenase activity
TI83333S002625	b2720	hycF	hydrogenase 4 Fe-S subunit
TI83333S002626	b2721	hycE	"hydrogenase 3, large subunit (part of FHL complex)"
TI83333S002627	b2722	hycD	"hydrogenase 3, membrane subunit (part of FHL complex)"
TI83333S002628	b2723	hycC	NADH dehydrogenase subunit N
TI83333S002629	b2724	hycB	"hydrogenase-3, Fe-S subunit (part of FHL complex)"
TI83333S002630	b2725	hycA	regulatory protein for HycE (part of the FHL complex)
TI83333S002631	b2726	hypA	hydrogenase nickel incorporation protein
TI83333S002632	b2727	hypB	"guanine-nucleotide binding protein, functions as nickel donor for large subunit of hydrogenase 3"
TI83333S002633	b2728	hypC	hydrogenase expression/formation protein
TI83333S002634	b2729	hypD	hydrogenase expression/formation protein
TI83333S002635	b2730	hypE	plays structural role in maturation of all 3 hydrogenase
TI83333S002636	b2731	fhlA	"formate hydrogen-lyase transcriptional activator for fdhF, hyc and hyp operons"
TI83333S002637	b2732	ygbA	hypothetical protein
TI83333S002638	b2733	mutS	DNA mismatch repair protein
TI83333S002639	b2734	pphB	protein phosphatase 2
TI83333S002640	b2735	ygbI	putative DEOR-type transcriptional regulator
TI83333S002641	b2736	ygbJ	putative dehydrogenase
TI83333S002642	b2737	ygbK	hypothetical protein
TI83333S002643	b2738	ybgL	hypothetical protein
TI83333S002644	b2739	ygbM	putative epimerase/isomerase
